dt,shop_id,sale_amt_3m
2016-07-31,2321,249161.99
2016-08-31,2321,273100.15
2017-01-31,2321,251864.64
2016-09-30,2321,230214.08
2016-10-31,2321,169737.51
2016-08-31,2633,413522.57
2016-07-31,827,72982.04
2017-01-31,827,73888.44
2016-10-31,827,114040.54
2016-06-30,1329,179133.33
2016-12-31,1329,120406.76
2016-07-31,1329,149344.43
2016-08-31,1329,191348.38
2017-01-31,1329,185402.83
2016-09-30,1329,218087.69
2016-12-31,154,35948.87
2016-12-31,8,154564.16
2016-07-31,8,180197.0
2016-08-31,8,118234.66
2017-01-31,8,207094.16
2016-11-30,8,146119.9
2016-12-31,2533,244330.98
2016-08-31,2533,506719.81
2017-01-31,2533,323979.12
2016-11-30,2533,200902.79
2016-06-30,1112,10427.68
2016-12-31,1112,74358.31
2016-07-31,1112,19518.97
2016-08-31,1112,22468.46
2016-06-30,13,8559.21
2016-12-31,13,37082.43
2016-07-31,13,14363.77
2016-07-31,305,426045.05
2016-08-31,305,535960.18
2016-09-30,305,503006.13
2016-06-30,479,101768.42
2016-12-31,479,56400.35
2017-01-31,479,37955.78
2016-11-30,479,91884.21
2016-07-31,1109,110758.94
2016-08-31,1109,219678.24
2017-01-31,1109,259985.13
2016-09-30,1109,315583.78
2016-11-30,1109,266932.79
2016-10-31,1109,326371.58
2016-12-31,1791,204060.5
2017-01-31,1791,244709.06
2016-11-30,1791,182208.2
2016-06-30,2833,181025.84
2016-12-31,2833,19552.59
2016-07-31,2833,159020.33
2016-09-30,2833,129404.22
2016-10-31,2833,76696.96
2016-06-30,823,18178.37
2016-08-31,823,248821.47
2017-01-31,823,355829.82
2016-09-30,823,441998.61
2016-11-30,823,405834.15
2016-06-30,2710,123747.17
2016-12-31,2710,175616.33
2016-06-30,1620,13363.13
2016-08-31,1620,72950.84
2017-01-31,1620,64284.09
2016-12-31,2984,37928.77
2016-08-31,2984,46791.68
2017-01-31,2984,44657.5
2016-09-30,2984,63520.38
2016-10-31,2984,66456.15
2016-12-31,1561,240928.99
2016-08-31,1561,222486.32
2016-12-31,1096,273812.32
2016-07-31,1096,292139.95
2017-01-31,1096,275024.81
2016-09-30,1096,352256.02
2016-10-31,1096,331570.82
2016-12-31,217,97476.76
2016-07-31,217,229048.12
2016-08-31,217,384223.53
2016-09-30,217,349814.15
2016-10-31,217,256259.36
2016-12-31,1211,72536.21
2016-07-31,1211,72530.43
2017-01-31,1211,63022.04
2016-09-30,1211,125481.76
2016-11-30,1211,76649.47
2016-10-31,1211,110250.32
2016-06-30,2251,108421.49
2016-12-31,2251,77789.54
2016-07-31,2251,143237.15
2016-11-30,2251,96364.2
2016-10-31,2251,161716.25
2016-12-31,603,199070.65
2016-10-31,603,387449.56
2016-12-31,1222,12445.08
2016-07-31,1222,35434.87
2017-01-31,1222,23614.06
2016-12-31,1425,61876.0
2016-08-31,1425,68549.16
2016-10-31,1425,88247.08
2016-12-31,795,177184.16
2016-07-31,795,147362.06
2016-08-31,795,170387.21
2016-11-30,795,156305.5
2016-07-31,824,229304.0
2016-08-31,824,90651.72
2016-09-30,824,44841.52
2016-11-30,824,48579.38
2016-06-30,2727,165656.3
2016-07-31,2727,186228.45
2016-08-31,2727,224530.48
2017-01-31,2727,174915.01
2016-09-30,2727,206036.43
2016-06-30,1036,435382.02
2016-12-31,1036,140046.79
2016-07-31,1036,425521.09
2016-08-31,1036,546715.2
2017-01-31,1036,251676.49
2016-11-30,1036,120428.26
2016-10-31,1036,372576.44
2016-06-30,317,160829.28
2016-10-31,317,160638.71
2016-06-30,2803,80673.28
2016-08-31,2803,81789.42
2016-11-30,2803,20023.15
2016-06-30,1444,96833.01
2016-09-30,1444,200294.06
2016-10-31,1444,167687.91
2016-06-30,572,140153.86
2016-12-31,572,207378.36
2016-07-31,572,199317.04
2016-08-31,572,266135.41
2017-01-31,572,206627.9
2016-10-31,572,251385.67
2016-07-31,2186,71290.84
2016-11-30,2186,87888.08
2016-07-31,220,351913.09
2017-01-31,220,220756.36
2016-09-30,220,457871.66
2016-10-31,220,292118.14
2016-07-31,200,143449.44
2016-08-31,200,179659.91
2016-09-30,200,269635.72
2016-06-30,283,76385.16
2016-07-31,283,67980.24
2016-08-31,283,55398.47
2017-01-31,283,52823.14
2016-10-31,283,23322.5
2016-06-30,653,97969.77
2016-12-31,653,54944.77
2016-11-30,653,45384.59
2016-06-30,893,258268.39
2016-12-31,893,152366.21
2016-08-31,893,169947.76
2016-09-30,893,130308.31
2017-01-31,198,188573.09
2016-10-31,198,110887.54
2016-08-31,914,161932.82
2017-01-31,914,76229.72
2016-11-30,914,58497.45
2016-10-31,914,120182.35
2016-12-31,839,232272.17
2016-08-31,839,520671.85
2016-09-30,839,468947.23
2016-11-30,839,173247.41
2016-06-30,85,344383.31
2016-11-30,85,341719.33
2016-06-30,2393,12760.18
2016-08-31,2393,17968.66
2017-01-31,2393,37316.66
2016-09-30,2393,18679.8
2016-06-30,520,204482.36
2016-07-31,520,193645.31
2016-08-31,520,162530.89
2017-01-31,520,196001.17
2016-09-30,520,122463.39
2016-10-31,520,82553.3
2016-06-30,2703,110535.44
2017-01-31,2703,337348.68
2016-09-30,2703,486829.5
2016-11-30,2703,269132.55
2016-10-31,2703,470870.55
2016-06-30,2023,69938.42
2016-08-31,2023,135324.92
2017-01-31,2023,107498.9
2016-06-30,2905,340010.73
2016-11-30,2905,415775.95
2016-06-30,1642,204890.58
2016-12-31,1642,403184.01
2016-07-31,1642,440133.37
2017-01-31,1642,696698.1
2016-11-30,1642,183440.52
2016-06-30,822,25278.4
2016-08-31,822,73068.33
2017-01-31,822,40578.68
2016-09-30,822,103982.19
2016-11-30,822,70183.07
2016-06-30,1794,475439.51
2016-08-31,1794,467674.77
2016-09-30,1794,411332.8
2016-06-30,2565,33479.1
2016-07-31,2565,34116.74
2017-01-31,2565,47747.15
2016-09-30,2565,41548.63
2016-11-30,2565,34085.35
2016-12-31,2725,66911.29
2016-07-31,2725,272873.47
2016-11-30,2725,36976.36
2016-10-31,2725,56504.34
2016-06-30,966,25019.01
2016-07-31,966,47512.25
2016-08-31,966,78915.07
2016-06-30,2217,188780.81
2017-01-31,2217,317094.95
2016-09-30,2217,371443.52
2016-11-30,2217,145882.37
2017-01-31,940,498374.0
2016-11-30,940,429745.16
2016-06-30,810,8750.75
2016-12-31,810,34583.57
2016-07-31,810,16214.0
2017-01-31,810,19288.53
2016-09-30,810,115518.92
2016-11-30,810,74577.15
2016-10-31,810,120242.81
2016-12-31,1037,65517.91
2016-11-30,1037,70165.64
2016-06-30,1041,157353.92
2016-08-31,1041,594793.29
2016-09-30,1041,525429.02
2016-11-30,1041,128198.16
2016-06-30,1780,792810.88
2016-09-30,1780,618453.79
2016-11-30,1780,193014.75
2016-10-31,1780,452822.85
2016-12-31,2357,39165.47
2016-08-31,2357,134000.96
2016-09-30,2357,129387.62
2016-12-31,785,83992.82
2017-01-31,785,100864.35
2016-09-30,785,108343.66
2016-10-31,785,99902.09
2017-01-31,1265,195577.18
2016-10-31,1265,23662.79
2016-08-31,2466,235527.58
2016-11-30,2466,110721.0
2016-10-31,2466,152801.32
2017-01-31,1528,130866.43
2016-09-30,1528,250510.51
2016-11-30,1528,99546.5
2016-10-31,1528,198388.56
2016-12-31,2277,114558.34
2017-01-31,2277,129112.49
2016-11-30,2277,169622.29
2016-06-30,461,400561.73
2016-12-31,461,91333.3
2016-07-31,461,522466.71
2016-08-31,461,715615.93
2017-01-31,461,156776.54
2016-11-30,461,240721.77
2016-06-30,1221,287403.51
2016-12-31,1221,266954.51
2016-08-31,1221,548225.3
2017-01-31,1221,305437.41
2016-12-31,1575,208989.3
2017-01-31,1575,151149.64
2016-10-31,1575,243656.87
2016-06-30,911,11166.42
2016-12-31,911,24448.27
2016-07-31,911,16423.62
2016-08-31,911,33662.96
2017-01-31,911,9971.26
2016-09-30,911,44698.22
2016-06-30,241,233107.01
2016-12-31,241,124354.99
2016-07-31,241,243122.25
2017-01-31,241,131766.7
2016-09-30,241,163365.77
2016-11-30,241,78075.98
2016-07-31,1264,102031.85
2016-08-31,1264,114746.19
2016-09-30,1264,106513.29
2016-07-31,2996,19382.36
2016-10-31,2996,44605.55
2016-12-31,1856,219742.91
2016-07-31,1856,379405.83
2017-01-31,1856,445523.55
2016-11-30,1856,135723.44
2016-12-31,2870,66015.3
2016-08-31,2870,125094.22
2016-09-30,2870,103905.17
2016-07-31,2054,49426.07
2016-09-30,2054,180870.52
2016-12-31,471,449137.97
2016-07-31,471,471294.8
2016-08-31,471,603099.97
2016-11-30,471,468670.84
2016-10-31,471,640173.74
2016-12-31,257,73014.11
2017-01-31,257,88512.21
2016-10-31,257,94418.33
2016-06-30,814,318936.66
2016-12-31,814,65873.98
2016-07-31,814,282801.95
2016-07-31,2365,79502.84
2016-11-30,2365,192468.3
2016-10-31,2365,292795.43
2016-06-30,2682,119511.85
2016-07-31,2682,121737.71
2016-08-31,2682,107927.0
2017-01-31,2682,93791.68
2016-11-30,2682,65275.24
2016-10-31,2682,79622.74
2016-12-31,945,383963.36
2016-11-30,945,312842.35
2016-06-30,1920,37993.11
2017-01-31,1920,91819.81
2016-09-30,1920,46044.03
2016-11-30,1920,52024.29
2016-07-31,705,198746.4
2016-08-31,705,207005.66
2016-09-30,705,182898.53
2016-06-30,1891,195111.27
2016-12-31,1891,52294.53
2016-07-31,1891,178249.81
2016-09-30,1891,111102.54
2016-11-30,1891,22024.1
2016-10-31,1891,50811.11
2016-06-30,2546,88919.86
2016-12-31,2546,35505.71
2016-07-31,2546,115122.46
2016-09-30,2546,35850.5
2016-10-31,2546,14739.09
2016-12-31,2949,169761.68
2016-08-31,2949,653626.46
2017-01-31,2949,231591.12
2016-09-30,2949,600941.75
2016-10-31,2949,409309.95
2016-12-31,2446,145047.48
2016-09-30,2446,140076.88
2016-12-31,488,65716.3
2016-08-31,488,136705.5
2017-01-31,488,143982.5
2016-11-30,488,48918.85
2016-10-31,488,86686.23
2016-06-30,2874,55412.2
2016-12-31,2874,41448.08
2016-08-31,2874,57754.79
2016-09-30,2874,56731.97
2016-11-30,2874,42682.06
2016-10-31,2874,56302.48
2016-12-31,1107,342817.17
2016-07-31,1107,174630.89
2017-01-31,1107,354217.01
2016-10-31,1107,557516.8
2016-06-30,647,163389.28
2016-08-31,647,197717.38
2017-01-31,647,444631.52
2016-11-30,647,141043.42
2016-10-31,647,113031.15
2016-12-31,2639,42766.31
2016-08-31,2639,208516.41
2017-01-31,2639,107178.92
2016-10-31,2639,143473.46
2016-06-30,1359,218489.6
2016-07-31,1359,271527.49
2016-06-30,844,16898.38
2016-09-30,844,35837.37
2016-11-30,844,10434.29
2016-06-30,645,109723.86
2016-07-31,645,115523.4
2016-08-31,645,165187.04
2016-09-30,645,177509.63
2016-10-31,645,165540.08
2016-08-31,1484,90393.2
2016-10-31,1484,90853.75
2016-06-30,566,156337.71
2016-12-31,566,21318.73
2016-07-31,566,162314.99
2016-08-31,566,177056.8
2017-01-31,566,49451.59
2016-11-30,566,34687.64
2016-10-31,566,97457.93
2016-07-31,2092,37924.63
2016-08-31,2092,56580.74
2016-09-30,2092,71106.19
2016-11-30,2092,76654.76
2016-10-31,2092,77389.15
2016-06-30,2248,55581.83
2016-12-31,2248,54335.46
2017-01-31,2248,48557.91
2016-09-30,2248,96970.45
2016-11-30,2248,77624.92
2016-10-31,2248,105065.8
2016-12-31,535,246584.64
2016-07-31,535,81833.17
2016-08-31,535,88125.21
2017-01-31,535,315720.56
2016-10-31,535,79332.26
2016-12-31,978,342775.22
2016-07-31,978,525855.21
2016-09-30,978,529927.21
2016-10-31,978,319961.3
2016-12-31,459,129783.58
2016-07-31,459,278837.53
2017-01-31,459,213360.09
2016-10-31,459,319805.06
2016-06-30,2896,88236.38
2016-08-31,2896,118986.12
2017-01-31,2896,90612.24
2016-09-30,2896,109768.37
2016-11-30,2896,61370.12
2016-10-31,2896,71440.75
2017-01-31,2105,450098.25
2016-09-30,2105,434244.97
2016-08-31,447,11102.49
2017-01-31,447,12106.85
2016-06-30,1455,92676.91
2016-12-31,1455,430230.0
2017-01-31,1455,304195.96
2016-11-30,1455,543629.27
2016-10-31,1455,643679.25
2016-06-30,1185,35945.41
2016-12-31,1185,28284.42
2016-08-31,1185,43543.7
2017-01-31,1185,21927.15
2016-09-30,1185,47892.35
2016-11-30,1185,38324.74
2016-10-31,1185,49673.94
2016-06-30,2952,74237.3
2016-08-31,2952,131338.11
2016-09-30,2952,162621.42
2016-11-30,2952,124512.77
2016-06-30,967,161107.52
2016-07-31,967,185373.26
2016-12-31,65,18594.56
2016-08-31,65,42769.06
2017-01-31,65,26782.59
2016-07-31,1839,61545.28
2016-08-31,1839,126052.83
2017-01-31,1839,86616.67
2016-09-30,1839,124421.52
2016-06-30,1114,97866.28
2016-12-31,1114,103096.8
2016-08-31,1114,259724.43
2017-01-31,1114,95027.97
2016-09-30,1114,259035.83
2016-10-31,1114,195925.91
2017-01-31,1898,132212.11
2016-08-31,2995,810426.68
2017-01-31,2995,416190.19
2016-11-30,2995,337609.38
2016-10-31,2995,504143.59
2016-06-30,2721,256358.0
2016-07-31,2721,273023.96
2016-08-31,2721,224810.56
2016-09-30,2721,148019.52
2016-11-30,2721,123777.65
2016-10-31,2721,73413.46
2016-12-31,480,127908.25
2016-07-31,480,99894.58
2017-01-31,480,153088.49
2016-06-30,2398,317827.07
2016-12-31,2398,386879.74
2016-07-31,2398,367637.38
2017-01-31,2398,437161.41
2016-11-30,2398,370993.23
2016-06-30,1981,659533.25
2016-12-31,1981,48779.92
2016-08-31,1981,376964.06
2016-09-30,1981,162293.01
2016-06-30,1800,41734.36
2017-01-31,1800,49843.47
2016-10-31,1800,70497.67
2016-06-30,1804,155608.31
2016-12-31,1804,75071.9
2016-07-31,1804,148270.53
2016-08-31,1804,160825.87
2017-01-31,1804,94042.44
2016-09-30,1804,134052.53
2016-11-30,1804,73654.56
2017-01-31,126,14047.02
2016-11-30,126,22354.48
2016-10-31,126,28892.74
2016-08-31,483,38491.25
2016-09-30,483,53619.61
2016-10-31,483,66641.62
2016-06-30,1067,119178.73
2016-12-31,1067,131654.33
2016-08-31,1067,142995.31
2016-09-30,1067,160697.18
2016-08-31,1830,707159.73
2016-11-30,1830,268464.52
2016-10-31,1830,406339.41
2016-06-30,1131,86035.63
2016-12-31,1131,83898.88
2017-01-31,1131,64375.78
2016-09-30,1131,147557.73
2016-10-31,1131,147866.63
2016-06-30,557,423819.92
2016-12-31,557,128173.88
2016-08-31,557,810222.92
2016-10-31,557,244683.95
2016-12-31,1371,274888.18
2016-08-31,1371,544913.08
2016-09-30,1371,693202.82
2016-11-30,1371,397023.42
2016-06-30,1665,30788.31
2016-12-31,1665,61024.88
2016-07-31,1665,60367.42
2016-08-31,1665,93800.43
2016-09-30,1665,101442.99
2016-11-30,1665,64043.74
2016-10-31,1665,80719.78
2016-12-31,1200,356397.2
2016-08-31,1200,785339.42
2016-11-30,1200,395014.9
2016-06-30,1589,23512.47
2016-07-31,1589,72587.42
2016-09-30,1589,372358.87
2016-12-31,659,22139.73
2016-08-31,659,39244.02
2016-09-30,659,29470.08
2016-06-30,478,366195.51
2016-12-31,478,513173.41
2016-07-31,478,355007.12
2017-01-31,478,459427.68
2016-10-31,478,564960.8
2016-06-30,2226,109094.15
2016-12-31,2226,174114.09
2016-09-30,2226,219811.46
2016-11-30,2226,211528.62
2016-10-31,2226,254740.78
2016-12-31,1885,291805.27
2016-07-31,1885,135227.27
2017-01-31,1885,385732.96
2016-09-30,1885,43995.5
2016-10-31,1885,84760.47
2016-08-31,744,64494.55
2017-01-31,744,67383.9
2016-10-31,744,120254.12
2016-12-31,1330,52662.08
2016-07-31,1330,76864.9
2016-12-31,1630,250058.11
2016-07-31,1630,230664.35
2017-01-31,1630,270580.29
2016-11-30,1630,269928.86
2016-10-31,1630,304247.54
2016-06-30,861,72508.25
2016-07-31,861,103922.35
2016-08-31,861,165038.13
2017-01-31,861,157667.64
2016-10-31,861,218451.9
2016-06-30,2674,9978.37
2016-07-31,2674,14799.63
2016-08-31,2674,33970.3
2017-01-31,2674,42673.47
2016-09-30,2674,39230.4
2016-10-31,2674,29654.93
2016-12-31,2112,60593.22
2016-08-31,2112,67603.98
2016-10-31,2112,104540.89
2016-07-31,1932,68291.63
2016-08-31,1932,72229.78
2017-01-31,1932,38031.11
2016-09-30,1932,56995.87
2016-10-31,1932,40222.37
2016-12-31,1724,57828.92
2016-06-30,624,565523.28
2016-07-31,624,401328.34
2016-09-30,624,414433.11
2016-12-31,2924,70723.24
2016-07-31,2924,135545.78
2017-01-31,2924,272543.79
2016-09-30,2924,80610.42
2016-11-30,2924,29399.88
2016-10-31,2924,31465.51
2016-12-31,1305,46614.27
2016-08-31,1305,65436.98
2017-01-31,1305,48679.65
2016-10-31,1305,57753.68
2016-07-31,864,50803.76
2016-06-30,2324,246347.75
2016-07-31,2324,200672.43
2016-08-31,2324,209835.39
2016-11-30,2324,88693.55
2016-10-31,2324,142154.23
2016-06-30,412,323890.07
2016-07-31,412,187985.67
2017-01-31,412,86977.67
2016-09-30,412,40473.04
2016-11-30,412,22484.65
2016-10-31,412,28261.92
2016-10-31,2163,22025.75
2016-06-30,2988,45768.18
2016-10-31,2988,75945.84
2016-12-31,149,240920.4
2016-08-31,149,680179.43
2017-01-31,149,230330.83
2016-10-31,149,406490.33
2016-12-31,2491,131324.09
2016-07-31,2491,125081.5
2016-11-30,2491,364628.25
2016-10-31,2491,595465.44
2016-07-31,284,224747.37
2017-01-31,284,55760.24
2016-11-30,284,69379.41
2016-07-31,36,219787.67
2016-08-31,36,227631.19
2017-01-31,36,181021.88
2016-11-30,36,151654.05
2016-06-30,994,54774.05
2016-12-31,994,84740.94
2016-07-31,994,72715.45
2016-08-31,994,130338.56
2016-11-30,994,77622.21
2016-10-31,994,117790.83
2016-08-31,2609,74379.41
2017-01-31,2609,31016.42
2016-11-30,2609,11743.43
2016-10-31,2609,34228.58
2016-08-31,2753,203488.29
2017-01-31,2753,329255.32
2016-09-30,2753,387581.96
2016-11-30,2753,393796.68
2016-10-31,2753,506198.38
2016-06-30,302,39257.32
2016-07-31,302,81323.88
2016-09-30,302,341665.76
2016-11-30,302,325080.94
2017-01-31,574,173707.47
2016-10-31,574,190560.16
2016-07-31,1906,148956.89
2017-01-31,1906,63629.19
2016-06-30,2279,256296.38
2016-12-31,2279,326632.25
2017-01-31,2279,316356.54
2016-09-30,2279,357763.49
2016-11-30,2279,311084.64
2017-01-31,2595,32947.02
2016-11-30,2595,23021.85
2016-10-31,2595,62260.09
2016-06-30,2140,163062.56
2016-07-31,2140,190483.28
2016-11-30,2140,261773.79
2016-06-30,2373,17430.22
2016-08-31,2373,143168.55
2016-11-30,2373,80648.32
2016-10-31,2373,160544.05
2016-08-31,2378,188557.23
2017-01-31,2378,84538.92
2016-09-30,2378,173880.42
2016-11-30,2378,50902.71
2016-10-31,2378,111606.79
2016-08-31,915,145975.56
2017-01-31,915,191041.81
2016-09-30,915,170478.68
2016-10-31,915,173806.76
2016-08-31,2550,166179.68
2016-09-30,2550,168519.11
2017-01-31,2603,201565.12
2016-09-30,2603,372433.65
2016-11-30,2603,260532.94
2016-10-31,2603,323072.75
2016-08-31,1881,53095.21
2016-11-30,1881,50873.06
2016-10-31,1881,71160.17
2016-06-30,273,311938.43
2016-12-31,273,26461.13
2016-08-31,273,285866.65
2016-09-30,273,219701.61
2016-11-30,273,51097.72
2016-10-31,273,106585.39
2016-12-31,774,280631.01
2016-07-31,774,222034.77
2016-09-30,774,205963.17
2016-11-30,774,175697.94
2016-06-30,1263,109875.91
2016-12-31,1263,97506.86
2016-08-31,1263,104577.87
2016-11-30,1263,91133.76
2016-12-31,2759,411962.84
2016-07-31,2759,772310.71
2016-11-30,2759,322343.89
2016-10-31,2759,399408.61
2016-12-31,464,95481.25
2017-01-31,464,115489.19
2016-09-30,464,82687.22
2016-11-30,464,82301.17
2016-10-31,464,87489.16
2016-07-31,2268,56546.38
2016-11-30,2268,32965.52
2016-10-31,2268,46872.96
2016-06-30,983,69214.22
2016-07-31,983,72761.7
2016-08-31,983,79471.84
2017-01-31,983,54322.25
2016-09-30,983,78503.0
2016-06-30,2477,155345.66
2016-12-31,2477,91829.7
2016-07-31,2477,167256.92
2017-01-31,2477,108183.53
2016-10-31,2477,153095.01
2016-06-30,1563,177123.62
2017-01-31,1563,79096.11
2016-12-31,444,113414.32
2016-07-31,444,187370.82
2017-01-31,444,121155.07
2016-07-31,2453,279216.64
2016-08-31,2453,293349.48
2016-09-30,2453,318028.94
2016-11-30,2453,319832.08
2016-12-31,2339,144870.19
2016-10-31,2339,169342.21
2016-12-31,1316,65787.33
2017-01-31,1316,81520.38
2016-09-30,1316,49865.56
2016-11-30,1316,56748.24
2016-10-31,1316,48313.59
2016-07-31,118,37591.11
2016-08-31,118,53447.07
2016-09-30,118,52643.45
2016-07-31,103,88404.46
2017-01-31,103,90545.34
2016-10-31,103,52151.64
2016-06-30,990,28436.81
2016-12-31,990,29452.74
2016-07-31,990,23136.64
2016-08-31,990,36712.87
2016-11-30,990,37542.14
2016-10-31,990,50946.57
2016-07-31,456,187416.43
2016-08-31,456,218571.54
2017-01-31,456,268942.42
2016-11-30,456,152778.18
2016-10-31,456,200844.14
2016-07-31,1191,34349.0
2016-08-31,1191,28643.3
2016-06-30,2444,28234.87
2016-12-31,2444,105635.38
2016-11-30,2444,101333.29
2016-10-31,2444,121918.99
2016-06-30,432,175259.91
2016-12-31,432,89011.34
2016-07-31,432,159389.36
2016-08-31,432,134818.6
2016-11-30,432,93818.63
2016-06-30,2197,99762.18
2016-12-31,2197,76722.98
2016-11-30,2197,64877.96
2016-10-31,2197,75052.9
2016-06-30,1553,508866.3
2016-12-31,1553,185382.92
2016-08-31,1553,472779.24
2017-01-31,1553,268779.69
2016-11-30,1553,175144.71
2016-10-31,1553,274213.42
2016-06-30,1440,526833.55
2016-12-31,1440,215288.53
2016-08-31,1440,353276.99
2017-01-31,1440,406574.8
2016-11-30,1440,85392.21
2016-06-30,715,249253.05
2016-12-31,715,131423.93
2016-11-30,715,115744.78
2016-10-31,715,108817.25
2016-06-30,1677,31554.3
2016-12-31,1677,76554.82
2016-07-31,1677,47562.63
2017-01-31,1677,57619.63
2016-06-30,454,121408.4
2016-12-31,454,105430.06
2016-07-31,454,135762.67
2016-09-30,454,151334.32
2016-10-31,454,112797.4
2016-08-31,2777,484191.76
2016-10-31,2777,361691.13
2016-06-30,2496,641835.35
2016-08-31,2496,259801.24
2017-01-31,2496,461724.68
2016-09-30,2496,147089.09
2016-11-30,2496,74902.41
2016-10-31,2496,87147.38
2016-06-30,2278,394127.34
2016-12-31,2278,434525.13
2016-09-30,2278,531408.01
2016-11-30,2088,163310.86
2016-06-30,2028,88973.71
2016-07-31,2028,155216.31
2016-08-31,2028,209455.1
2016-06-30,907,28741.59
2016-08-31,907,39769.25
